u,v,key,osmid,highway,name,oneway,ref,reversed,length,lanes,maxspeed,tunnel,width
878518757,878518780,0,92223190,tertiary,,False,,False,38.66006009425483,,,,
878518757,1105152884,0,74314550,residential,,True,,False,88.60838259696115,,,,
878518757,1070638257,0,92223190,tertiary,,False,,True,39.987931047849585,,,,
878518780,878518757,0,92223190,tertiary,,False,,True,38.66006009425483,,,,
878518780,878518740,0,74314548,residential,木挽町通り,True,,False,59.55349122913772,,30,,
878518780,835996357,0,92223190,tertiary,,False,,False,69.99352541124351,,,,
878518784,878518757,0,74314550,residential,,True,,False,59.17489042542961,,,,
878518784,878518740,0,74314564,residential,,False,,False,38.1767675634368,,,,
878518784,1105152917,0,74314564,residential,,False,,True,39.060080831631964,,,,
951246999,258071906,0,568498790,primary,晴海通り,True,304,False,7.412639547977317,3,,,
951246999,473462993,0,538982927,trunk,中央通り,True,15,False,128.0116139478427,2,50,,
951247002,31254351,0,1391162948,unclassified,,True,,False,29.202992878845137,,,,
951247020,951246999,0,1090618167,trunk,中央通り,True,15,False,12.300449364047704,2,50,,
951247020,951247036,0,539237084,primary,晴海通り,True,304,False,63.2992118721813,3,,,
951247022,1105152917,0,240392347,unclassified,木挽町仲通り,True,,False,72.94474958655604,,,,
951247022,31255167,0,342481197,tertiary,,True,,False,44.76318042603316,,,,
951247034,951247022,0,342481197,tertiary,,True,,False,37.97428568037522,,,,
951247034,878518784,0,74314550,residential,,True,,False,73.80538824294156,,,,
951247035,1105152915,0,342481197,tertiary,,True,,False,74.80662027370511,,,,
951247035,835996338,0,342481198,unclassified,,True,,False,76.36894804814274,,,,
951247036,254367451,0,539237084,primary,晴海通り,True,304,False,61.7310732800965,3,,,
951247036,598438978,0,"[723856283, 723856284, 46869645]",unclassified,あづま通り,True,,False,116.84699419286169,,30,,
951247044,1105125170,0,342481201,unclassified,松屋通り,True,,False,39.44687784831297,,,,
951247044,598438986,0,46869642,unclassified,,True,,False,132.81883205932814,,,,
1070638135,31255167,0,69963039,primary,昭和通り,True,316,False,131.34458436973384,,,,
1070638135,1070638257,0,92223190,tertiary,,False,,False,49.38214730896537,,,,
1070638168,1070638350,0,968060908,tertiary,銀座桜通り,False,,False,7.804296824312698,,,,
1070638168,1070638476,0,968060911,tertiary,銀座桜通り,False,,True,7.337650837128284,,,,
1070638231,1070638168,0,760779955,primary,昭和通り,True,316,False,31.745295007340353,,,,
1070638231,1070638350,0,1245989820,primary,昭和通り,True,316,False,29.547839875839692,,,,
1070638257,878518757,0,92223190,tertiary,,False,,False,39.987931047849585,,,,
1070638257,1070638135,0,92223190,tertiary,,False,,True,49.38214730896537,,,,
1070638257,1105125657,0,240392347,unclassified,木挽町仲通り,True,,False,111.79353713939831,,,,
1070638350,5110457574,0,23489017,primary,昭和通り,True,316,False,46.85205317748321,,,,
1070638350,1070638168,0,968060908,tertiary,銀座桜通り,False,,True,7.804296824312698,,,,
1070638350,31255183,0,968060910,tertiary,銀座桜通り,False,,False,63.38267631823628,,,,
1070638366,1070638476,0,229878534,tertiary,銀座桜通り,False,,False,7.656488536115445,,,,
1070638366,31255186,0,968060907,tertiary,銀座桜通り,False,,True,56.34243185809588,,,,
1070638366,11583657070,0,1245989822,primary,昭和通り,True,316,False,31.042973121621557,,,,
1070638476,1070638366,0,229878534,tertiary,銀座桜通り,False,,True,7.656488536115445,,,,
1070638476,1070638168,0,968060911,tertiary,銀座桜通り,False,,False,7.337650837128284,,,,
1070638476,11583657070,0,968060912,primary,昭和通り,True,316,False,28.2797989451891,,,,
1070638565,1715779074,0,580847357,primary,昭和通り,True,316,False,65.99753614639982,,,,
1070638565,1130958386,0,680788592,unclassified,みゆき通り,True,,False,47.45162457324709,,30,,
1070638575,1070638565,0,680788592,unclassified,みゆき通り,True,,False,20.648490703155197,,30,,
1070638575,31254305,0,4848928,primary,昭和通り,True,316,False,122.37335920451777,,,,
1070638617,11583657069,0,4848928,primary,昭和通り,True,316,False,66.19348042913856,,,,
1105125075,499185613,0,968060910,tertiary,銀座桜通り,False,,True,37.73607027488604,,,,
1105125075,499185615,0,"[1070720648, 968060910]",tertiary,銀座桜通り,False,,False,41.64174863835055,,,,
1105125140,1105125645,0,95274341,unclassified,,True,,False,32.597076870584004,,,,
1105125140,254367451,0,723855277,unclassified,銀座三原通り,True,,False,15.251768176238691,,,,
1105125170,31254307,0,342481201,unclassified,松屋通り,True,,False,39.67717511234234,,,,
1105125170,1105125515,0,856631371,unclassified,,True,,False,128.02742800859562,1,30,,
