u,v,key,osmid,highway,name,oneway,ref,reversed,length,geometry,lanes,maxspeed,bridge,tunnel,width,access
1281076085,1281071379,0,"[112771457, 737900706, 737900707, 737900708, 737900709, 112774184, 112773911]",unclassified,,False,,"[False, True]",426.19503433196,"LINESTRING (137.2406464 37.4208955, 137.238532 37.4175977)",,,yes,,,
1281076278,11491066500,0,112770802,unclassified,,False,,False,52.403493739811424,"LINESTRING (137.303959 37.46391, 137.30403 37.4634503)",,,,,,
1281076278,1281102818,0,112770802,unclassified,,False,,True,243.8495301756629,"LINESTRING (137.303959 37.46391, 137.302576 37.465661)",,,,,,
1281076278,11491066493,0,1237198083,unclassified,,False,,True,156.9823635625206,"LINESTRING (137.303959 37.46391, 137.3055391 37.4642024)",,,,,,
1281076318,1281071912,0,112771521,primary,珠洲穴水線,False,26,False,433.60243735207774,"LINESTRING (137.1523722 37.3858894, 137.1481272 37.3852906)",2.0,,,,,
1281076318,1281129004,0,112771521,primary,珠洲穴水線,False,26,True,100.45980251343671,"LINESTRING (137.1523722 37.3858894, 137.1530068 37.3866374)",2.0,,,,,
1281076318,1281093795,0,"[112774465, 112774821, 112773711]",unclassified,,False,,"[False, True]",267.63611949307875,"LINESTRING (137.1523722 37.3858894, 137.15199 37.383851)",,,yes,,,
1281076349,1281072753,0,112771260,residential,,False,,False,138.75154596854946,"LINESTRING (137.259839 37.438927, 137.261192 37.4384703)",,,,,,
1281076464,1281089045,0,112770468,unclassified,,False,,False,109.30255563721497,"LINESTRING (137.2048073 37.4591106, 137.2060068 37.4590488)",,,,,,
1281076464,1281078765,0,112772110,primary,珠洲里線,False,40,False,690.94373819149,"LINESTRING (137.2048073 37.4591106, 137.1976246 37.4582525)",2.0,,,,,
1281076464,1281144263,0,112772110,primary,珠洲里線,False,40,True,234.486570277362,"LINESTRING (137.2048073 37.4591106, 137.207115 37.4600627)",2.0,,,,,
1281076491,1281136881,0,"[112770832, 923272654, 923272655]",unclassified,,False,,True,406.62964345175067,"LINESTRING (137.1675172 37.4895034, 137.163158 37.4894807)",,,yes,,,
1281076491,1281125352,0,"[112772042, 112773967]",unclassified,,False,,True,1093.161037619818,"LINESTRING (137.1675172 37.4895034, 137.1660001 37.4823284)",,,,,,
1281076491,1281075126,0,"[112773857, 923272652, 923272653]",unclassified,,False,,False,368.8526844564134,"LINESTRING (137.1675172 37.4895034, 137.1701773 37.4919608)",,,yes,,,
1281076525,1281071015,0,112770453,tertiary,,False,,False,219.82281598094207,"LINESTRING (137.2951947 37.4504149, 137.2963444 37.4521352)",,,,,,
1281076525,1281146147,0,112772475,unclassified,,False,,True,268.7426230778719,"LINESTRING (137.2951947 37.4504149, 137.2936788 37.4484487)",2.0,,,,,
1281076525,1281082252,0,685784902,primary,蛸島港線,False,12;28,False,104.86108219246222,"LINESTRING (137.2951947 37.4504149, 137.2940112 37.4504958)",2.0,50,,,,
1281076525,1281087570,0,685784902,primary,蛸島港線,False,12;28,True,146.20882663501544,"LINESTRING (137.2951947 37.4504149, 137.2968426 37.4502832)",2.0,50,,,,
1281076549,1281134904,0,112772901,unclassified,,False,,False,355.25408347834167,"LINESTRING (137.257116 37.4974256, 137.2541777 37.495394)",,,,,,
1281076549,1281084744,0,372751165,tertiary,,False,,True,983.9547353209024,"LINESTRING (137.257116 37.4974256, 137.2470132 37.4943143)",,,,,,
1281076549,1281095139,0,372751167,tertiary,,False,,True,166.81006556854544,"LINESTRING (137.257116 37.4974256, 137.258531 37.498366)",,,,,,
1281076602,1281138389,0,112771576,unclassified,,False,,True,208.7666212312769,"LINESTRING (137.2597432 37.4591869, 137.2598114 37.4573102)",,,,,,
1281076602,1281099933,0,112771576,unclassified,,False,,False,204.7915051801398,"LINESTRING (137.2597432 37.4591869, 137.2578534 37.4595023)",,,,,,
1281076602,1281144912,0,112772645,residential,,False,,False,442.2929516742818,"LINESTRING (137.2597432 37.4591869, 137.2628438 37.4574251)",,,,,,
1281076637,1281085329,0,112772869,unclassified,,False,,False,55.58504947091268,"LINESTRING (137.2504002 37.4275717, 137.2498699 37.4278406)",,,,,,
1281076637,1281091172,0,112772869,unclassified,,False,,True,124.3557251287166,"LINESTRING (137.2504002 37.4275717, 137.2514401 37.426831)",,,,,,
1281076637,11487124457,0,"[1236977148, 1236965885, 1237120566]",residential,,False,,True,223.9486876147602,"LINESTRING (137.2504002 37.4275717, 137.2524043 37.4279026)",,,yes,,,
1281076668,1281075216,0,112773721,unclassified,,False,,False,44.32992059470188,"LINESTRING (137.2420402 37.408134, 137.2415471 37.4082083)",,,,,,
1281076668,1281148226,0,112773008,tertiary,国道249号旧道,False,,False,47.40123364228369,"LINESTRING (137.2420402 37.408134, 137.241957 37.4077144)",2.0,40,,,,
1281076668,11481589740,0,112773008,tertiary,国道249号旧道,False,,True,86.3876764803157,"LINESTRING (137.2420402 37.408134, 137.2423578 37.4088688)",2.0,40,,,,
1281076721,1281140282,0,112771709,secondary,粟津正院線,False,287,False,807.3221097019049,"LINESTRING (137.2980413 37.451393, 137.3023672 37.4574249)",,40,,,,
1281076721,3762333388,0,"[1237158690, 112771709]",secondary,粟津正院線,False,287,True,160.011004044045,"LINESTRING (137.2980413 37.451393, 137.2968568 37.4503049)",,40,,,,
1281076721,1281146742,0,112771826,unclassified,,False,,False,449.24724449005424,"LINESTRING (137.2980413 37.451393, 137.302351 37.450977)",,,,,,
1281076781,11492035522,0,112770641,unclassified,,False,,True,397.0227130498386,"LINESTRING (137.22725 37.406806, 137.2307376 37.4085746)",,,,,,
1281076792,1281087721,0,112770362,tertiary,,False,,False,211.3097067591017,"LINESTRING (137.2843235 37.4696385, 137.2851848 37.4679122)",,,,,,
1281076792,11491727529,0,"[112774864, 112773914, 112771190]","['unclassified', 'residential']",,False,,True,125.99683795491964,"LINESTRING (137.2843235 37.4696385, 137.2856291 37.469446)",,,,yes,,
1281076792,1281143332,0,112774744,tertiary,,False,,True,60.559234053559685,"LINESTRING (137.2843235 37.4696385, 137.2838582 37.4700326)",,,,,,
1281076827,1281071086,0,112774385,unclassified,,False,,True,218.30971069628825,"LINESTRING (137.3114977 37.5261457, 137.3116516 37.5248637)",,,,,,
1281076828,1281131596,0,112772249,residential,,False,,True,114.19624153100858,"LINESTRING (137.314314 37.490604, 137.3152485 37.4907558)",,,,,,
1281076828,11491204712,0,112773181,residential,,False,,False,70.09398466442249,"LINESTRING (137.314314 37.490604, 137.3143733 37.49003)",,,,,,
1281076828,1281091850,0,112773964,residential,,False,,False,68.62582745562626,"LINESTRING (137.314314 37.490604, 137.3137517 37.4910066)",,,,,,
1281076871,1281071539,0,112770670,residential,,False,,False,20.616234001629326,"LINESTRING (137.2382221 37.4017048, 137.2384549 37.401718)",,,,,,
1281076871,11486093943,0,112770941,residential,,False,,True,36.33160760128958,"LINESTRING (137.2382221 37.4017048, 137.2378125 37.4016751)",,,,,,
1281076871,11486093943,1,1236837238,residential,,False,,True,136.58405152418055,"LINESTRING (137.2382221 37.4017048, 137.2378125 37.4016751)",,,,,,
1281076942,1281085230,0,372751164,tertiary,,False,,True,57.11408665761693,"LINESTRING (137.243948 37.4950645, 137.2433007 37.4950728)",,,,,,
1281076942,1281093752,0,112773919,unclassified,,False,,True,582.5980469951386,"LINESTRING (137.243948 37.4950645, 137.2447213 37.4909718)",,,,,,
1281076942,1281084744,0,372751164,tertiary,,False,,False,296.9164427290592,"LINESTRING (137.243948 37.4950645, 137.2470132 37.4943143)",,,,,,
1281076960,1281078911,0,112771749,secondary,粟津正院線,False,287,False,162.47305565162085,"LINESTRING (137.313533 37.464834, 137.3153378 37.4651142)",,,,,,
1281076960,1281079592,0,112771749,secondary,粟津正院線,False,287,True,334.26831029619444,"LINESTRING (137.313533 37.464834, 137.310339 37.463276)",,,,,,
1281076960,1281130286,0,1180971037,residential,,False,,False,227.57991435212543,"LINESTRING (137.313533 37.464834, 137.3146416 37.4630403)",,,,,,
1281077080,1281148871,0,1238308580,residential,,False,,True,196.49900923009235,"LINESTRING (137.2648109 37.4506912, 137.2636549 37.4494376)",,,,,,
