u,v,key,osmid,highway,oneway,reversed,length,bridge,name,ref,lanes,maxspeed,tunnel,width,est_width,access
1281070188,1281088443,0,"[112773993, 112773948, 112773301]",tertiary,False,"[False, True]",820.8890331822055,yes,,,2,,,,,
1281070188,1281082481,0,"[112772210, 112772963, 112774206]","['tertiary', 'unclassified']",False,True,795.8461604162038,,,,,,,,,
1281070192,1281088281,0,112770402,residential,False,False,348.47455080695875,,,,,,,,,
1281070192,1281147578,0,112771261,unclassified,False,False,244.285572490042,,,,,,,,,
1281070192,1281116238,0,112771308,unclassified,False,False,222.1672210890015,,,,,,,,,
1281070192,1281091638,0,112773761,unclassified,False,True,207.17056316274727,,,,,,,,,
1281070290,1281086863,0,112774841,residential,False,False,52.6332326328021,,,,,,,,,
1281070433,1281076085,0,112771433,unclassified,False,False,86.64522457865873,,,,,,,,,
1281070433,1281085268,0,112772482,unclassified,False,True,147.00586733786173,,,,,,,,,
1281070433,1281085268,1,112773344,unclassified,False,True,144.3526598440963,,,,,,,,,
1281070463,4598077720,0,112770602,primary,False,False,106.9445908721791,,蛸島港線,12;28,2,,,,,
1281070463,11486785967,0,112770602,primary,False,True,93.00659502747982,,蛸島港線,12;28,2,,,,,
1281070463,10874967957,0,1169519354,unclassified,False,False,66.20260848713694,,,,,,,,,
1281070491,1281144798,0,112771485,unclassified,False,True,373.5145784570107,,,,,,,,,
1281070491,1281070911,0,112773399,unclassified,False,False,157.6669011371841,,,,,,,,,
1281070491,1281139504,0,112774255,unclassified,False,False,158.02552486320022,,,,,,,,,
1281070506,1281128465,0,"[112771721, 112773858, 112773782]",unclassified,False,"[False, True]",864.2403874823863,,,,,,,,,
1281070506,1281125857,0,112774481,primary,False,True,193.61108348606533,,珠洲道路,26,2,60,,,,
1281070551,11490098165,0,1237143185,residential,False,False,41.89924626000139,,,,,,,,,
1281070551,11490098158,0,1237201210,primary,False,False,119.95275812183388,,大谷狼煙飯田線,28,2,30,,,,
1281070551,1281086905,0,1237201210,primary,False,True,201.42082238492887,,大谷狼煙飯田線,28,2,30,,,,
1281070571,1281148177,0,1238051171,tertiary,False,False,7.5923745280595485,,,,2,,,,,
1281070571,11492231677,0,1238051171,tertiary,False,True,1.0180045214203115,,,,2,,,,,
1281070571,11492231676,0,112773079,residential,False,True,98.33393695140546,,,,,,,,,
1281070598,1281087125,0,112773128,tertiary,False,False,343.0358506441112,,,,2,,,,,
1281070598,1281073417,0,112773948,tertiary,False,False,548.1071857601257,,,,2,,,,,
1281070598,1281130971,0,"[1237216640, 112771323, 112771804]",tertiary,False,True,820.4116640477301,,,,2,,,,,
1281070629,1281143950,0,112771608,primary,False,False,1640.485685453882,,珠洲道路,26,2,60,,,,
1281070629,11491968379,0,112771608,primary,False,True,1506.7416293905055,,珠洲道路,26,2,60,,,,
1281070629,11491427294,0,"[1238098178, 112773378]",tertiary,False,False,682.5760514581394,,,,2,,,,,
1281070650,1281080376,0,112770359,unclassified,False,False,507.62093986754064,,,,,,,,,
1281070650,1281107255,0,112773016,unclassified,False,True,298.61800624366316,,,,,,,,,
1281070650,1281107255,1,112773235,unclassified,False,False,490.93277569114946,,,,,,,,,
1281070662,1281103386,0,112773182,unclassified,False,False,281.78223692864657,,,,,,,,,
1281070673,1281110206,0,1237282327,secondary,False,True,294.8496912762231,,上黒丸大谷線,272,2,,,,,
1281070675,11493056647,0,112770513,unclassified,False,True,10.17759473388764,,,,,,,,,
1281070675,1281102116,0,112770576,unclassified,False,True,299.3204903267842,,,,,,,,,
1281070675,1281118937,0,112774235,unclassified,False,False,522.9334026941661,,,,,,,,,
1281070695,1281083837,0,112770453,tertiary,False,False,202.34542056402682,,,,,,,,,
1281070695,1281089908,0,112770453,tertiary,False,True,35.071377250776706,,,,,,,,,
1281070695,1281081610,0,112770606,unclassified,False,False,409.27338437218384,,,,,,,,,
1281070696,1281071632,0,112772998,unclassified,False,False,196.7459269621074,,,,,,,,,
1281070696,1281093977,0,541313008,unclassified,False,False,1103.8652519970929,,旧国道249号,,,,,,,
1281070696,5234538234,0,541313008,unclassified,False,True,69.54760538762712,,旧国道249号,,,,,,,
1281070734,11491085492,0,1237201207,primary,False,False,257.9049978779736,,大谷狼煙飯田線,28,2,40,,,,
1281070734,11491062922,0,1237201207,primary,False,True,1271.0552625689468,,大谷狼煙飯田線,28,2,40,,,,
1281070734,1281145491,0,1238722419,residential,False,True,171.590632617096,,,,,,,,,
1281070749,10913801372,0,112771517,unclassified,False,False,62.0162562159569,,,,,,,,,
1281070749,1281085321,0,112773596,unclassified,False,False,48.45638604653343,,,,,,,,,
1281070749,10913801373,0,112772910,unclassified,False,False,171.51035827934624,,,,,,,,,
1281070833,1281144378,0,112770536,secondary,False,False,71.76189785708513,,粟津正院線,287,,,,,,
1281070833,1281089580,0,112770536,secondary,False,True,87.12488772891439,,粟津正院線,287,,,,,,
1281070833,1281080805,0,112773865,tertiary,False,False,978.2466177476715,,,,2,,,,,
1281070911,1281094505,0,112771338,tertiary,False,False,82.38695806394357,,,,,,,,,
1281070911,11490140686,0,112772132,tertiary,False,True,167.24480430355214,,,,,,,,,
1281070911,1281070491,0,112773399,unclassified,False,True,157.6669011371841,,,,,,,,,
1281070968,1281107349,0,112771041,unclassified,False,True,135.84302274388978,,,,,,,,,
1281070968,1281078952,0,"[112771744, 112771334]",unclassified,False,"[False, True]",330.5307689409239,yes,,,,,,,,
1281070968,1281141631,0,"[112771832, 112772473, 112775044]",unclassified,False,False,1058.2334419717627,yes,,,,,,,,
1281070979,11486142986,0,112770934,unclassified,False,True,183.1018195982445,,,,,,,,,
1281070979,5748076687,0,112772744,trunk,False,False,170.67531727155927,,国道249号,249,2,40,,,,
1281070979,1281134456,0,112772744,trunk,False,True,154.75486676755233,,国道249号,249,2,40,,,,
1281070992,4598080924,0,112771037,tertiary,False,True,87.09628376394595,,,,2,,,,,
1281070992,3762978505,0,112771037,tertiary,False,False,93.20902698776331,,,,2,,,,,
1281070992,1281117380,0,"[112773065, 112771690]",unclassified,False,False,224.7425685847663,,,,,,,,,
1281071015,1281111248,0,112770453,tertiary,False,False,88.88620992177846,,,,,,,,,
1281071015,1281076525,0,112770453,tertiary,False,True,219.82281598094212,,,,,,,,,
1281071015,1281135163,0,112774638,unclassified,False,True,95.23816267895208,,,,,,,,,
1281071028,11486371746,0,289034220,trunk,False,False,59.07576129810117,,国道249号,249,2,,,,,
1281071028,1281082569,0,"[112771329, 112770959]",trunk,False,True,44.64281776349124,yes,国道249号,249,2,,,,,
1281071028,1281142329,0,112770974,unclassified,False,True,228.20145033461037,,,,,,,,,
1281071040,1281088215,0,112771933,tertiary,False,False,1174.7185132088441,,,,,,,,,
